"campaignid","sample","family","genus","species","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs","10","Batrachoididae","Batrachomoeus","rubricephalus","1",NA
"2020-06_south-west_stereo-BRUVs","40","Odacidae","Siphonognathus","sp1","1",NA
"2020-10_south-west_stereo-BRUVs","IO46","Carangidae","Carangoides","sp10","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO108","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO37","Pinguipedidae","Parapercis","naevosa","RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO290","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO110","Gerraidae","Parequula","elongata","RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO370","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO378","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","FH93","Odacidae","Siphonognathus","sp1","RAW1",NA
"2020-10_south-west_stereo-BRUVs","FHD","Carangidae","Carangoides","sp10","RAW1","BU1"
"2020-10_south-west_stereo-BRUVs","FHE","Paralichthyidae","Pseudorhombus","sp10","RAW1","BU1"
"2020-10_south-west_stereo-BRUVs","IO307","Gerraidae","Parequula","elongata","RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO327","Lethrinidae","Gymnocranius","grandoculis","RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO80","Odacidae","Siphonognathus","sp1","RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO49","Gerraidae","Parequula","elongata","RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO109","Gerraidae","Parequula","elongata","RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO299","Gerraidae","Parequula","elongata","RAW4",NA
"2020-10_south-west_stereo-BRUVs","FH23","Odacidae","Siphonognathus","sp1","RAW2",NA
"2020-10_south-west_stereo-BRUVs","FH111","Odacidae","Siphonognathus","sp1","RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO254","Gerraidae","Parequula","elongata","RAW5.5",NA
"2020-10_south-west_stereo-BRUVs","IO36","Gerraidae","Parequula","elongata","RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO75","Carangidae","Carangoides","sp10","RAW3",NA
"2020-10_south-west_stereo-BRUVs","IO217","Carangidae","Unknown","sp10","RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO273","Berycidae","Unknown","sp1","RAW3",NA
"2020-10_south-west_stereo-BRUVs","FH50","Carangidae","Carangoides","sp10","RAW1",NA
"2020-10_south-west_stereo-BRUVs","IO47","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO113","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO192","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO280","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO302","Gerraidae","Parequula","elongata","RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO40","Gerraidae","Parequula","elongata","RAW3","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO278","Gerraidae","Parequula","elongata","RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO300","Gerraidae","Parequula","elongata","RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IOREDO344","Gerraidae","Parequula","elongata","RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IOREDO344","Pinguipedidae","Parapercis","naevosa","RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO298","Gerraidae","Parequula","elongata","RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO379","Gerraidae","Parequula","elongata","RAW5.5",NA
"2020-10_south-west_stereo-BRUVs","IO148","Gerraidae","Parequula","elongata","RAW5.5",NA
"2020-10_south-west_stereo-BRUVs","FH70","Gobiesocidae","Aspasmogaster","occidentalis","RAW2","CON1/CON2"
"2020-10_south-west_stereo-BRUVs","IO126","Odacidae","Siphonognathus","sp1","RAW2",NA
